app_id,name,visual_style,genre,release_year,positive_pct,owners_estimate,total_reviews,price_usd,is_free
200000,IndieGame_0000,Low Poly,Adventure,2020,85.6,30902,1010,9.99,0
200001,IndieGame_0001,Hand-Drawn,RPG,2025,88.2,130197,5986,14.99,0
200002,IndieGame_0002,Pixel Art,RPG,2023,84.8,402593,6188,14.99,0
200003,IndieGame_0003,Hand-Drawn,Puzzle,2021,68.3,19069,997,12.99,0
200004,IndieGame_0004,Hand-Drawn,Platformer,2017,94.1,46435,2172,14.99,0
200005,IndieGame_0005,Hand-Drawn,Puzzle,2017,84.6,60045,1236,9.99,0
200006,IndieGame_0006,Low Poly,Adventure,2016,71.3,10864,187,12.99,0
200007,IndieGame_0007,Low Poly,Adventure,2024,76.4,117926,3044,4.99,0
200008,IndieGame_0008,Low Poly,Puzzle,2022,57.2,24328,1430,7.99,0
200009,IndieGame_0009,Realistic,Platformer,2022,74.1,35594,813,4.99,0
200010,IndieGame_0010,Cartoon,Roguelike,2015,65.7,45348,1487,7.99,0
200011,IndieGame_0011,Minimalist,Puzzle,2025,66.5,25208,289,4.99,0
200012,IndieGame_0012,Voxel,Adventure,2023,55.8,37680,1125,19.99,0
200013,IndieGame_0013,Pixel Art,Platformer,2018,89.1,65622,2530,4.99,0
200014,IndieGame_0014,Pixel Art,Adventure,2018,71.7,54403,3136,0.99,0
200015,IndieGame_0015,Pixel Art,Platformer,2018,93.3,35463,1270,7.99,0
200016,IndieGame_0016,Minimalist,Platformer,2019,74.6,95375,4859,0.0,1
200017,IndieGame_0017,Cartoon,Horror,2021,58.9,567391,21195,0.99,0
200018,IndieGame_0018,Pixel Art,Puzzle,2020,66.8,100536,1210,2.99,0
200019,IndieGame_0019,Psychedelic,Puzzle,2019,85.4,132187,3403,7.99,0
200020,IndieGame_0020,Pixel Art,Puzzle,2022,76.4,16028,621,7.99,0
200021,IndieGame_0021,Psychedelic,Platformer,2017,67.5,48336,2780,12.99,0
200022,IndieGame_0022,Hand-Drawn,Platformer,2019,83.6,19294,1021,12.99,0
